time;acc_x;acc_y;acc_z;gyr_x;gyr_y;gyr_z
0.687500;-5.449927;2.640777;7.843455;0.005899;-0.043590;-0.037048
0.690000;-5.442533;2.649982;7.836350;0.011945;-0.017508;-0.026965
0.692500;-5.449888;2.646272;7.843503;0.030070;-0.050681;0.046829
0.695000;-5.446072;2.668303;7.838262;0.023227;-0.047852;-0.026239
0.697500;-5.447814;2.677229;7.854867;0.021478;-0.050824;-0.042638
0.700000;-5.455152;2.685006;7.828975;0.023581;-0.070682;-0.046133
0.702500;-5.446011;2.679431;7.829152;0.029716;-0.053952;-0.042694
0.705000;-5.449715;2.675855;7.825348;0.029513;-0.064523;-0.032985
0.707500;-5.431353;2.671783;7.842336;0.005721;-0.045804;-0.026174
0.710000;-5.433279;2.660919;7.834830;0.018968;-0.050028;-0.019704
0.712500;-5.435115;2.660935;7.834785;0.022472;-0.071756;-0.043955
0.715000;-5.435035;2.671898;7.836723;0.016780;-0.062664;-0.013292
0.717500;-5.449767;2.668528;7.825283;0.005737;-0.064626;-0.028555
0.720000;-5.444188;2.673699;7.843878;0.001458;-0.051125;-0.018580
0.722500;-5.438628;2.679036;7.851426;0.022044;-0.072001;-0.019956
0.725000;-5.435006;2.675534;7.838596;0.021223;-0.041556;-0.028353
0.727500;-5.435016;2.675617;7.833072;0.003825;-0.049908;-0.034943
0.730000;-5.427579;2.690289;7.827857;0.010937;-0.043681;-0.028354
0.732500;-5.431215;2.691959;7.840671;0.010816;-0.031193;-0.020581
0.735000;-5.423937;2.686621;7.826074;0.028583;-0.042513;-0.036027
0.737500;-5.414730;2.682436;7.855726;0.021165;-0.038450;-0.025053
0.740000;-5.412894;2.682420;7.855771;0.023056;-0.054229;-0.017591
0.742500;-5.423884;2.690063;7.840835;0.026679;-0.061257;-0.046047
0.745000;-5.423990;2.671553;7.853563;0.026458;-0.044626;-0.033857
0.747500;-5.427658;2.669615;7.862663;0.037931;-0.054974;-0.042729
0.750000;-5.427665;2.671613;7.851632;0.008873;-0.056219;-0.030661
0.752500;-5.437024;2.646049;7.851183;0.027288;-0.052039;-0.025199
0.755000;-5.427768;2.655017;7.858852;0.018360;-0.046646;-0.042580
0.757500;-5.416857;2.646094;7.836948;0.039774;-0.044620;-0.031703
0.760000;-5.414949;2.653239;7.848104;0.020813;-0.045949;-0.008755
0.762500;-5.420589;2.633056;7.853317;0.017021;-0.043669;-0.027261
0.765000;-5.405854;2.640282;7.851900;-0.003389;-0.043622;-0.037032
0.767500;-5.402008;2.662065;7.863229;0.019262;-0.048811;-0.036067
0.770000;-5.420386;2.664333;7.844383;0.030194;-0.049011;-0.014272
0.772500;-5.407516;2.664055;7.855745;0.009710;-0.063639;-0.022016
0.775000;-5.407532;2.662251;7.853888;-0.001387;-0.045756;-0.032703
0.777500;-5.424013;2.669804;7.848024;0.021460;-0.050831;-0.042640
0.780000;-5.427801;2.657236;7.833092;0.017416;-0.035106;-0.045726
0.782500;-5.424142;2.655372;7.833166;0.034083;-0.028682;-0.055522
0.785000;-5.429723;2.640518;7.849473;0.029596;-0.030972;-0.036979
0.787500;-5.429659;2.653561;7.834856;0.042954;-0.035154;-0.034882
0.790000;-5.427794;2.657180;7.836774;0.043980;-0.039340;-0.034932
0.792500;-5.424226;2.642495;7.836736;0.033779;-0.030933;-0.040265
0.795000;-5.431460;2.661042;7.825669;0.014155;-0.032076;-0.035864
0.797500;-5.420405;2.660614;7.848034;0.019344;-0.052953;-0.040472
0.800000;-5.420444;2.655119;7.847985;0.031517;-0.024780;-0.028195
0.802500;-5.429597;2.656920;7.855141;0.021224;-0.037353;-0.029393
0.805000;-5.438810;2.661161;7.821807;0.031306;-0.014449;-0.014986
0.807500;-5.446217;2.646240;7.843593;0.029741;-0.013116;-0.042240
0.810000;-5.457104;2.668537;7.828786;0.029473;-0.035251;-0.028299
0.812500;-5.468132;2.668744;7.821151;0.050344;-0.032958;-0.042514
0.815000;-5.462605;2.670472;7.824984;0.037897;-0.024671;-0.036936
0.817500;-5.464428;2.672320;7.824955;0.023500;-0.025741;-0.038001
0.820000;-5.473730;2.657912;7.813555;0.031582;-0.026847;-0.030389
0.822500;-5.468286;2.646763;7.820959;0.022289;-0.007000;-0.027964
0.825000;-5.464574;2.656083;7.808241;0.037563;-0.045770;-0.021882
0.827500;-5.458914;2.676101;7.814076;0.037636;-0.050972;-0.025220
0.830000;-5.464464;2.672624;7.804703;0.041937;-0.051908;-0.035060
0.832500;-5.453433;2.672389;7.814179;0.019901;-0.049047;-0.013148
0.835000;-5.436826;2.683180;7.818362;0.018422;-0.059197;-0.044906
0.837500;-5.436714;2.699693;7.816665;0.029662;-0.050863;-0.038304
0.840000;-5.429476;2.683061;7.822224;0.010933;-0.041587;-0.028329
0.842500;-5.444138;2.690737;7.807199;0.037841;-0.033090;-0.033764
0.845000;-5.442347;2.683339;7.810862;0.026382;-0.032138;-0.027174
0.847500;-5.458934;2.676267;7.803029;0.022420;-0.047748;-0.037147
0.850000;-5.460715;2.683582;7.804889;0.026519;-0.027880;-0.033671
0.852500;-5.464378;2.687415;7.795625;0.019554;-0.058101;-0.049257
0.855000;-5.444163;2.683189;7.821864;0.000783;-0.054082;-0.037163
0.857500;-5.458914;2.676101;7.814076;0.023429;-0.046707;-0.036047
0.860000;-5.473626;2.668681;7.828381;0.021885;-0.034433;-0.007534
0.862500;-5.464447;2.670543;7.821257;-0.005600;-0.062569;-0.027409
0.865000;-5.464351;2.683310;7.825052;0.023165;-0.052085;-0.021921
0.867500;-5.457053;2.679748;7.814153;0.008767;-0.074076;-0.025394
0.870000;-5.464460;2.668712;7.821241;0.012897;-0.073003;-0.026480
0.872500;-5.471820;2.670856;7.804507;0.004693;-0.068827;-0.027502
0.875000;-5.468123;2.674487;7.804629;0.021947;-0.051146;-0.012083
0.877500;-5.475454;2.676383;7.804465;0.021061;-0.040610;-0.018513
0.880000;-5.480913;2.685728;7.795204;0.002720;-0.041602;-0.028296
0.882500;-5.482678;2.692904;7.806270;0.013112;-0.051986;-0.033895
0.885000;-5.482749;2.683801;7.802508;0.006691;-0.056314;-0.021919
0.887500;-5.490037;2.691164;7.804233;-0.001759;-0.055410;-0.009884
0.890000;-5.493812;2.678485;7.796666;0.006795;-0.066714;-0.028574
0.892500;-5.490129;2.688054;7.767377;0.009174;-0.066548;-0.044950
0.895000;-5.503147;2.662412;7.774203;-0.000340;-0.050996;-0.031650
0.897500;-5.501299;2.666169;7.766915;0.059122;-0.081337;-0.020138
0.900000;-5.497810;2.636637;7.779637;-0.007751;-0.066796;-0.024155
0.902500;-5.505308;2.616663;7.771916;-0.006892;-0.059554;-0.015341
