time;acc_x;acc_y;acc_z;gyr_x;gyr_y;gyr_z
1.641667;-5.761928;2.694200;7.492094;-0.003108;-0.003962;0.001835
1.650000;-5.748967;2.677324;7.510091;-0.007274;0.001429;0.018084
1.658333;-5.752447;2.682830;7.521162;-0.013659;0.008869;0.021406
1.666667;-5.741919;2.679271;7.495273;0.001353;0.011026;0.026625
1.675000;-5.752797;2.679289;7.495535;0.017384;0.009974;0.024273
1.683333;-5.745216;2.679113;7.519156;0.007699;-0.026090;0.026519
1.691667;-5.741767;2.679195;7.506255;-0.009298;-0.003777;0.038622
1.700000;-5.745542;2.675559;7.495360;-0.013671;-0.022936;0.028945
1.708333;-5.738093;2.681022;7.509829;-0.013706;-0.014477;0.021387
1.716667;-5.759882;2.664356;7.506692;-0.011649;-0.002900;0.003020
1.725000;-5.768877;2.669910;7.512403;0.026949;-0.014427;0.020903
1.733333;-5.748817;2.679107;7.521074;0.007575;-0.042081;0.011391
1.741667;-5.745187;2.675383;7.520986;0.011950;-0.016572;0.018915
1.750000;-5.745329;2.690316;7.511835;0.009801;-0.009168;0.015706
1.758333;-5.758197;2.690426;7.499328;0.001171;-0.031496;0.010401
1.766667;-5.756388;2.694140;7.499285;-0.001009;0.000251;-0.005750
1.775000;-5.741991;2.675591;7.489781;-0.025400;0.003561;0.026947
1.783333;-5.749136;2.694128;7.499110;-0.018086;-0.049530;0.016019
1.791667;-5.734354;2.669813;7.517062;0.003430;0.002514;0.019030
1.800000;-5.732599;2.677270;7.513358;-0.005260;-0.006079;0.000769
1.808333;-5.749074;2.682950;7.502770;-0.005130;-0.033526;0.029913
1.816667;-5.759898;2.679226;7.506693;0.025891;-0.005941;0.020919
1.825000;-5.756186;2.694040;7.513928;-0.004066;0.009912;0.015891
1.833333;-5.741510;2.699503;7.526391;0.001364;-0.014368;0.037400
1.841667;-5.745423;2.682931;7.504513;0.013165;-0.013282;0.041583
1.850000;-5.754412;2.682909;7.510223;0.003385;-0.017656;0.017942
1.858333;-5.752603;2.686624;7.510179;-0.009490;-0.006050;0.008386
1.866667;-5.749175;2.683001;7.495448;0.014067;-0.003888;0.011342
1.875000;-5.741692;2.679157;7.511746;-0.009410;-0.005983;0.021342
1.883333;-5.752685;2.668086;7.502856;0.015320;0.002618;0.038333
1.891667;-5.741789;2.675490;7.504424;-0.002956;-0.001713;0.025588
1.900000;-5.732835;2.684819;7.496884;0.009794;-0.027190;0.020012
1.908333;-5.723439;2.682781;7.520461;-0.009498;-0.014519;0.010529
1.916667;-5.734313;2.679082;7.520723;-0.013655;-0.026083;0.033255
1.925000;-5.749027;2.686642;7.506431;0.009797;-0.022948;0.018938
1.933333;-5.752645;2.679214;7.506518;0.005498;-0.031448;0.017907
1.941667;-5.754725;2.692354;7.488258;-0.009424;-0.027195;0.025653
1.950000;-5.736391;2.690363;7.502464;-0.004143;0.002433;0.006163
1.958333;-5.738198;2.684790;7.502507;-0.007369;-0.035726;0.014815
1.966667;-5.745230;2.667973;7.517324;0.009847;-0.016550;0.024341
1.975000;-5.736240;2.716298;7.515279;-0.009369;0.000419;0.027819
1.983333;-5.776271;2.684856;7.503427;0.004325;-0.069678;0.012501
1.991667;-5.754404;2.675474;7.510222;0.009742;-0.018758;0.008145
2.000000;-5.748936;2.671735;7.511921;-0.009494;0.000301;0.005151
2.008333;-5.747333;2.679267;7.497234;0.007698;-0.010213;0.021135
2.016667;-5.745333;2.694033;7.511835;0.011951;-0.023987;0.022149
2.025000;-5.745232;2.693983;7.519157;0.003408;-0.005973;0.019024
2.033333;-5.747218;2.690357;7.506387;-0.003061;-0.016626;0.013698
2.041667;-5.749068;2.677374;7.502769;0.005413;0.010856;-0.009062
2.050000;-5.741631;2.693989;7.517239;-0.020000;-0.000608;0.037671
2.058333;-5.745409;2.694071;7.506344;0.008891;-0.009042;0.041637
2.066667;-5.748688;2.701336;7.532058;-0.005274;-0.003959;-0.001390
2.075000;-5.747126;2.699600;7.513710;-0.004781;-0.022639;0.083911
2.083333;-5.747076;2.699575;7.517371;-0.004153;-0.022993;0.012625
2.091667;-5.756273;2.681079;7.506606;-0.005039;-0.008028;0.036412
2.100000;-5.734478;2.692169;7.509742;0.001184;0.002428;0.002856
2.108333;-5.741888;2.697833;7.498935;-0.008831;-0.005322;-0.057503
2.116667;-5.739880;2.705164;7.513535;0.004443;-0.008117;0.014688
2.125000;-5.752820;2.701594;7.495537;-0.008592;-0.013607;-0.016469
2.133333;-5.756219;2.677336;7.510266;0.016263;-0.010191;0.022112
2.141667;-5.752573;2.682893;7.512009;-0.016137;-0.014719;-0.026098
2.150000;-5.752865;2.696043;7.491876;-0.036204;-0.012428;0.015188
2.158333;-5.737878;2.693920;7.526303;0.014030;-0.022964;0.012400
2.166667;-5.734686;2.697846;7.495099;-0.011521;-0.005966;0.026765
2.175000;-5.738254;2.690392;7.498847;0.024665;-0.014540;-0.000679
2.183333;-5.741773;2.684771;7.506255;0.000215;-0.027161;0.027690
2.191667;-5.745314;2.675446;7.511834;-0.015832;-0.022947;0.025729
2.200000;-5.732519;2.697666;7.520681;0.007642;-0.010236;0.013565
2.208333;-5.747085;2.708869;7.517371;0.001232;-0.016598;0.016882
2.216667;-5.759823;2.705198;7.514017;0.007648;-0.015537;0.015730
2.225000;-5.736217;2.693993;7.515277;0.009782;-0.014476;0.014618
2.233333;-5.748955;2.690322;7.511922;0.001262;-0.014463;0.020127
2.241667;-5.756378;2.684847;7.499284;0.022593;-0.016613;0.010151
2.250000;-5.734367;2.682824;7.517063;-0.013733;-0.017673;0.018142
2.258333;-5.741645;2.682850;7.515408;-0.013528;-0.012212;0.049466
2.266667;-5.748937;2.697745;7.513753;-0.020060;-0.025025;0.035497
2.275000;-5.741833;2.694090;7.502595;-0.013635;-0.025016;0.036499
2.283333;-5.732513;2.692090;7.520681;0.001203;-0.021916;0.013636
2.291667;-5.749128;2.686693;7.499109;-0.018127;-0.033675;0.004152
2.300000;-5.745611;2.694172;7.491700;0.012966;-0.021922;0.012421
2.308333;-5.748875;2.686567;7.517413;-0.007266;-0.010211;0.023473
2.316667;-5.737939;2.679088;7.520811;0.014051;-0.017656;0.013486
2.325000;-5.732804;2.679230;7.498714;0.010968;-0.021807;0.035121
2.333333;-5.745345;2.681035;7.510004;-0.028609;-0.044104;0.042069
2.341667;-5.748770;2.682799;7.524735;0.000259;0.005723;0.024472
2.350000;-5.763336;2.694002;7.521425;-0.000824;0.005708;0.022330
2.358333;-5.747015;2.690256;7.521031;0.001165;-0.012418;0.003928
2.366667;-5.748813;2.699540;7.522906;-0.015746;-0.005916;0.035457
2.375000;-5.747352;2.697855;7.497236;-0.004122;-0.011326;0.013716
2.383333;-5.743592;2.690351;7.506300;-0.002921;0.007854;0.028833
2.391667;-5.752649;2.682931;7.506518;0.009785;0.004584;0.008160
2.400000;-5.743324;2.675355;7.524603;-0.011516;0.000403;0.024611
2.408333;-5.732399;2.679028;7.528001;-0.015917;-0.016647;0.010608
2.416667;-5.754394;2.690332;7.512054;0.013001;-0.025064;0.018898
2.425000;-5.741781;2.692206;7.506256;0.018291;-0.012391;0.005880
2.433333;-5.747226;2.697792;7.506388;-0.020208;-0.018792;0.009585
2.441667;-5.752606;2.690341;7.510179;0.004483;-0.015510;0.022248
2.450000;-5.749040;2.699654;7.506432;0.018314;-0.017669;0.011277
2.458333;-5.763710;2.712765;7.495800;-0.008296;-0.004892;0.028895
2.466667;-5.756225;2.682912;7.510267;-0.017959;-0.027180;0.028995
2.475000;-5.749121;2.679258;7.499109;-0.008383;-0.004966;0.013774
2.483333;-5.738159;2.695918;7.506169;-0.013707;-0.030367;0.026774
2.491667;-5.741818;2.679220;7.502594;-0.003066;0.010911;0.003998
2.500000;-5.732447;2.677195;7.524340;0.009671;-0.014563;-0.003740
2.508333;-5.749004;2.664338;7.506429;-0.008233;0.001512;0.035377
2.516667;-5.743623;2.671788;7.502637;0.007668;-0.009176;0.015735
2.525000;-5.732644;2.671719;7.509696;-0.013753;-0.012398;0.012748
2.533333;-5.734426;2.690285;7.513402;-0.005126;0.002507;0.020212
2.541667;-5.734328;2.693952;7.520724;0.001273;-0.016563;0.023359
2.550000;-5.737990;2.679113;7.517150;0.001331;-0.013344;0.030924
2.558333;-5.737931;2.671653;7.520810;0.016226;-0.003855;0.014550
2.566667;-5.741723;2.684746;7.509916;-0.004038;-0.007016;0.025595
