Time (s),Roll (deg),Pitch (deg),Yaw (deg)
1.091882706,6.119325,36.17044,94.56691
1.096801281,6.141047,36.18494,94.55779
1.101718903,6.161249,36.20046,94.53912
1.109097004,6.181365,36.23345,94.48876
1.114015579,6.194645,36.26619,94.43806
1.118933678,6.211342,36.31529,94.37555
1.123852253,6.230356,36.38894,94.30025
1.128770351,6.255422,36.48454,94.19842
1.133688927,6.282682,36.61095,94.06611
1.138607502,6.299745,36.77593,93.89935
1.143525124,6.304218,36.98811,93.70888
1.148443699,6.286524,37.24325,93.50083
1.153362751,6.269635,37.53267,93.2588
1.158280373,6.243055,37.87094,92.97775
1.163198948,6.219584,38.24066,92.63892
1.168117523,6.177639,38.63268,92.24017
1.175495148,6.137105,39.28826,91.55524
1.180413723,6.085478,39.76768,91.04475
1.185332298,5.992013,40.25552,90.49866
1.190250397,5.853282,40.7331,89.92712
1.195168972,5.625544,41.1866,89.32904
1.200087547,5.291862,41.60307,88.70559
1.205005169,4.876018,41.94621,88.07611
1.209924221,4.403424,42.20484,87.46339
1.214841843,3.91182,42.37712,86.88552
1.219760418,3.442868,42.46714,86.35558
1.224678993,3.028662,42.49323,85.882
1.229597092,2.690316,42.47043,85.4708
1.234515667,2.434174,42.41637,85.12128
1.241893768,2.200664,42.29236,84.70898
1.246811867,2.136616,42.17866,84.50518
1.251730442,2.132948,42.03607,84.35297
1.256649017,2.182472,41.85856,84.25098
1.261566639,2.271067,41.64449,84.19084
1.266485691,2.38941,41.38837,84.16444
1.271404266,2.531823,41.0947,84.16439
1.276321888,2.696808,40.76748,84.18656
1.281240463,2.891895,40.40964,84.23392
1.286159515,3.115951,40.02097,84.2964
1.291077137,3.359229,39.60775,84.37437
1.295995712,3.609783,39.17477,84.46283
1.300913811,3.858137,38.7316,84.55624
1.308291912,4.19696,38.05235,84.68172
1.313210487,4.402426,37.60861,84.76121
1.318128109,4.5891,37.16427,84.83476
1.323047161,4.758238,36.72191,84.90722
1.327965736,4.912332,36.28097,84.98125
1.332883358,5.053791,35.84063,85.0596
1.337801933,5.181849,35.3997,85.14088
1.342720985,5.308137,34.96074,85.22645
1.347638607,5.435477,34.52865,85.32108
1.352557182,5.580588,34.10078,85.44155
1.357475758,5.753967,33.66092,85.5963
1.362393856,5.96009,33.1993,85.78748
1.367312431,6.194013,32.70605,86.00623
1.372231960,6.438555,32.18241,86.23431
1.379608631,6.785286,31.35477,86.5859
1.384527207,6.998229,30.78262,86.82813
1.389444828,7.199726,30.20151,87.08942
1.394363403,7.40105,29.60143,87.37294
1.399282456,7.605229,28.97019,87.67387
1.404200077,7.810072,28.29506,87.97649
1.409118652,8.004848,27.57808,88.26791
1.414037228,8.175749,26.81711,88.52576
1.418955326,8.308392,26.03239,88.74946
1.423873901,8.39943,25.22392,88.9261
1.428792477,8.449726,24.43221,89.07856
1.433710575,8.477085,23.65037,89.20457
1.438629150,8.490597,22.90069,89.3244
1.443547726,8.506557,22.18527,89.43531
1.450924873,8.556802,21.17018,89.59986
1.455843925,8.616711,20.5267,89.71358
1.460761547,8.697227,19.90514,89.82912
1.465680122,8.79183,19.30378,89.94892
1.470598698,8.89479,18.72024,90.07211
1.475516796,9.002023,18.14928,90.19923
1.480435371,9.109387,17.59301,90.32996
1.485353947,9.211437,17.04465,90.48022
1.490272045,9.305491,16.51719,90.6254
1.495190620,9.394917,16.01471,90.76544
1.500109196,9.479764,15.54532,90.8996
1.507486343,9.604651,14.9186,91.10165
1.512405395,9.692122,14.55564,91.24267
1.517323017,9.7883,14.23299,91.39422
1.522241592,9.896634,13.94835,91.56012
1.527160168,10.01198,13.69719,91.73714
1.532078266,10.12652,13.47086,91.92259
1.536996841,10.23213,13.26922,92.11029
1.541915417,10.32137,13.09346,92.29213
1.546833515,10.38919,12.94684,92.46421
1.551752090,10.43486,12.83278,92.62154
1.556670666,10.45262,12.75687,92.7608
1.561588764,10.44316,12.72543,92.87858
1.566507339,10.40974,12.74341,92.97538
1.571425915,10.36237,12.81374,93.05737
1.576344013,10.30809,12.93655,93.12873
1.583721638,10.22694,13.21163,93.22504
1.588639736,10.17815,13.44217,93.28813
1.593558311,10.13066,13.70111,93.35155
1.598476887,10.0768,13.97984,93.41457
1.603401184,10.00797,14.27455,93.47402
1.608313560,9.913741,14.5814,93.52537
1.613232136,9.78879,14.90686,93.56372
1.618150234,9.634109,15.25419,93.58717
1.623068809,9.459659,15.62599,93.5956
1.627987385,9.280473,16.02274,93.59155
1.632905483,9.111824,16.44706,93.57544
1.637824058,8.966926,16.89696,93.5508
1.642742634,8.836568,17.17027,93.39835
1.647660732,8.760318,17.84349,93.25359
1.652579307,8.649958,18.21311,93.02957
1.657500267,8.481884,18.775,92.78916
1.662415981,8.294536,19.37998,92.58524
1.667334557,8.187819,20.17582,92.5284
1.672253132,8.199912,21.16337,92.68421
1.679630279,8.44208,23.03835,93.33355
1.684550285,8.644402,24.41881,93.8976
1.689466953,8.842772,25.86573,94.49855
1.694385528,9.049965,27.22121,95.05037
1.699304104,9.259585,28.47009,95.48734
1.704222202,9.456468,29.61473,95.77998
1.709140778,9.65733,30.61046,95.94128
1.714059353,9.904078,31.43806,96.03049
1.718981266,10.18516,32.13827,96.10407
1.723896027,10.46918,32.74043,96.21087
1.728814602,10.72244,33.29354,96.35487
1.733732223,10.94312,33.73468,96.48393
1.738651276,11.09182,34.13734,96.61031
1.746028423,11.11785,34.73695,96.79761
1.750946999,11.00577,35.16755,96.91211
1.755865574,10.79264,35.53473,96.86685
1.760783672,10.5227,35.85276,96.72557
1.765702248,10.2695,36.16278,96.58199
1.770620823,10.02302,36.45691,96.4502
