Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.359105110,0.1052774,-0.1469889,0.2043926,-0.5627796,0.1585729,0.7942122,18.46463,-18.13117,-28.63559,992.0029
0.364024639,-0.1420061,-0.2062406,0.2043926,-0.5633281,0.1591647,0.7884092,18.46463,-18.13117,-28.63559,992.0029
0.368943691,-0.1420061,-0.02848563,0.2653489,-0.5633383,0.1601486,0.7879553,18.84399,-18.14922,-28.18784,992.0029
0.373863220,-0.1420061,-0.08773727,0.2653489,-0.5638287,0.1587,0.7869418,18.84399,-18.14922,-28.18784,992.0029
0.378782272,-0.203827,-0.08773727,0.02152368,-0.5676457,0.1575175,0.7961603,18.84399,-18.14922,-28.18784,992.0029
0.383700847,-0.01836437,-0.08773727,0.3263052,-0.5658041,0.1654699,0.7891172,18.84399,-18.14922,-28.18784,992.0029
0.388620376,-0.01836437,-0.3839955,0.2043926,-0.564756,0.1571473,0.7912695,18.84399,-18.14922,-28.18784,992.0029
0.393539429,-0.01836437,-0.1469889,0.3263052,-0.5637652,0.1590605,0.7937503,18.84399,-18.14922,-28.18784,992.0029
0.398458958,-0.01836437,-0.1469889,0.3263052,-0.5593542,0.1590822,0.7946859,18.84399,-18.14922,-28.18784,992.0029
0.403378010,-0.08018526,-0.3247438,0.2043926,-0.5628427,0.1639979,0.7909879,18.84399,-18.14922,-28.18784,992.0029
0.408297539,0.04345652,-0.02848563,0.2653489,-0.5628039,0.159584,0.7923027,18.84399,-18.14922,-28.18784,992.0029
0.413216591,0.04345652,-0.2062406,0.1434363,-0.5642962,0.1615476,0.7909213,18.84399,-18.14922,-28.18784,992.0029
0.418136120,-0.01836437,-0.4432471,0.2043926,-0.5662397,0.1634342,0.7934253,19.15834,-18.5185,-28.1984,992.0029
0.423055172,-0.08018526,-0.02848563,0.2653489,-0.561834,0.1610551,0.7923419,19.15834,-18.5185,-28.1984,992.0029
0.427974701,-0.08018526,-0.3247438,0.2653489,-0.5711659,0.1605652,0.7880329,19.15834,-18.5185,-28.1984,992.0011
0.435353279,-0.01836437,-0.1469889,0.2043926,-0.5676628,0.1614078,0.7967708,19.15834,-18.5185,-28.1984,992.0011
0.440272331,-0.08018526,-0.2062406,0.1434363,-0.5632641,0.161935,0.7967516,19.15834,-18.5185,-28.1984,992.0011
0.445191860,-0.2656479,-0.3247438,-0.03943261,-0.5676935,0.1551983,0.7897744,19.15834,-18.5185,-28.1984,992.0011
0.450110912,-0.08018526,-0.3839955,0.1434363,-0.5623291,0.1596156,0.7908432,19.15834,-18.5185,-28.1984,992.0011
0.455030441,-0.1420061,-0.3839955,0.2043926,-0.5608591,0.1591415,0.7908159,19.15834,-18.5185,-28.1984,992.0011
0.459949493,-0.08018526,-0.3839955,0.2653489,-0.5657248,0.160496,0.794298,19.15834,-18.5185,-28.1984,992.0011
0.464869022,0.04345652,-0.3247438,0.3263052,-0.5622957,0.1561765,0.7921892,18.84679,-18.51586,-28.19908,992.0011
0.469788074,-0.1420061,-0.5024988,0.2043926,-0.563808,0.1625178,0.7914339,18.84679,-18.51586,-28.19908,992.0011
0.474707603,-0.08018526,-0.2654922,0.2653489,-0.5642596,0.1600309,0.7937855,18.84679,-18.51586,-28.19908,992.0011
0.479627609,-0.08018526,-0.2062406,0.509174,-0.5681766,0.1566289,0.7912809,18.84679,-18.51586,-28.19908,992.0011
0.484546184,0.04345652,-0.08773727,0.2653489,-0.5623091,0.1643991,0.7958518,18.84679,-18.51586,-28.19908,992.0011
0.489465237,-0.203827,-0.3247438,0.3872615,-0.5560206,0.1684467,0.7910746,18.84679,-18.51586,-28.19908,992.0011
0.496843815,-0.01836437,-0.2654922,0.2653489,-0.5583866,0.1634506,0.7962746,18.84679,-18.51586,-28.19908,992.0011
0.501763344,-0.08018526,-0.3247438,0.1434363,-0.5628161,0.1600895,0.7913479,18.84679,-18.51586,-28.19908,992.0011
0.506682396,-0.1420061,-0.4432471,0.3263052,-0.5642509,0.1609785,0.7952724,18.84679,-18.51586,-28.19908,992.0011
0.511601925,0.1052774,-0.08773727,0.3263052,-0.5593413,0.1576108,0.7951242,18.84679,-18.51586,-28.19908,992.0011
0.516520977,-0.01836437,-0.1469889,0.08247998,-0.5661929,0.1609336,0.7967435,18.47574,-18.87934,-28.21112,992.0011
0.521440506,-0.1420061,-0.2654922,0.2043926,-0.5657263,0.1624275,0.795331,18.47574,-18.87934,-28.21112,992.0011
0.526359558,-0.203827,-0.1469889,0.2653489,-0.5652933,0.161575,0.7889882,18.47574,-18.87934,-28.21112,992.0011
0.531279087,-0.1420061,-0.08773727,0.02152368,-0.5633044,0.1591193,0.7908353,18.47574,-18.87934,-28.21112,992.0011
0.536198139,-0.203827,-0.3247438,0.02152368,-0.5632599,0.1595161,0.795703,18.47574,-18.87934,-28.21112,992.0011
0.541116714,0.1052774,-0.3247438,0.1434363,-0.5594206,0.1625848,0.7899433,18.47574,-18.87934,-28.21112,992.0011
0.546036243,-0.08018526,-0.2062406,0.02152368,-0.5592918,0.1546229,0.7984267,18.47574,-18.87934,-28.21112,992.0011
0.550955295,-0.08018526,-0.5617504,0.08247998,-0.5613835,0.1620978,0.7889729,18.47574,-18.87934,-28.21112,991.9993
0.555874824,-0.203827,-0.5024988,0.1434363,-0.5647987,0.1606046,0.788953,18.47574,-18.87934,-28.21112,991.9993
0.563253879,-0.3892897,-0.2654922,0.08247998,-0.5623318,0.160103,0.7908588,18.09627,-18.14288,-28.18946,991.9993
0.568173408,-0.203827,-0.3839955,-0.1003889,-0.5662497,0.1610425,0.7909211,18.09627,-18.14288,-28.18946,991.9993
0.573092461,-0.1420061,-0.5024988,0.08247998,-0.5604007,0.1620976,0.7894503,18.09627,-18.14288,-28.18946,991.9993
